id,name,classification,index_acquired_by_public_company,headquarters_country_code,headquarters_state_code,headquarters_city,year_founded,summary,narrative,social_twitter,social_linkedin,social_facebook
289,"Quiksilver, Inc.",Private,No,US,CA,Huntington Beach,1970,,,,,
2427,"Nymagic, Inc.",Private,No,US,NY,New York,1964,"Nymagic, Inc. is a privately-held company that operates in the insurance industry. Nymagic, Inc. headquarters are located in New York, New York.",,,,
5283,Coastal Construction Group,Private,No,US,FL,Miami,1989,"Coastal Construction Group, Inc. is a privately-held construction services company which, through its subsidiaries, is engaged in providing construction services in the U.S. The private company focuses on nine primary markets that includes: commercial, hospitality, education, residential, mixed-use, interiors, worship, historic restoration, and disaster recovery. Founded in 1989 by Thomas P. Murphy, Coastal Construction is headquartered in Miami, Florida.",,,,
7073,Essent Healthcare,Private,No,US,TN,Nashville,1999,"Essent Healthcare is a privately-held health care service provider company that operates and owns a network of hospitals. Founded in 1999 by Hudson Connery, Essent Healthcare is headquartered in Nashville, Tennessee. Essent Healthcare operates healthcare facilities in different areas including Connecticut, Massachusetts, Pennsylvania, and Texas.",,,,
7514,Point One Technologies Inc.,Private,No,US,CA,Anaheim,2004,"Point One Technologies Inc. is a privately-held discount electronics wholesale company. The company sources new, factory re-certified and refurbished electronics and accessories from big-brand manufacturers and sells them at a discount to retailers. Founded in 2004, Point One Technologies Inc. is headquartered in Anaheim, California.",,,,
7703,"Professional Dental Technologies, Inc.",Private,No,US,CO,Fort Collins,1980,"<p>Zila, Inc. is a fully integrated, oral hygiene company dedicated to the identification and marking of abnormal oral lesions suspicious for pathology, the detection, prevention, and treatment of periodontal disease, and the management of oral health. Zila, Inc. designs, manufactures and markets a portfolio of proprietary products sold exclusively and directly to dental professionals. Zila, Inc. was founded in 1980, and Zila, Inc. has headquarter locations in Fort Collins, Colorado.</p>","<p><strong>Business Overview</strong><br />Zila, Inc. is a diagnostic company dedicated to the prevention, detection and treatment of oral cancer and periodontal disease. Zila, Inc. manufactures and markets ViziLite Plus with TBlue, its flagship product, for the early detection of oral abnormalities that could lead to cancer. ViziLite Plus is an adjunctive medical device cleared by the FDA for use in a population at increased risk for oral cancer. In addition, Zila, Inc. designs, manufactures and markets a suite of proprietary products sold exclusively and directly to dental professionals for periodontal disease, including the Rotadent Professional Powered Brush, the Pro-Select Platinum ultrasonic scaler and a portfolio of oral pharmaceutical products for both in-office and home-care use. Zila, Inc. is certified by the American Dental Association and the Academy of General Dentistry to provide continuing education seminars.<br /><br /><strong>Sales and Marketing</strong><br />Zila, Inc. sells its products directly to dental offices in the United States and Canada through its direct field sales force and telemarketing organization. Zila, Inc.'s marketing programs reach most U.S. dental offices and include continuing education seminars that dentists and their staffs pay to attend. These seminars are ideally suited to educate a large number of dental professionals on the importance of oral cancer screening and periodontal health. In order to achieve its vision of establishing ViziLite Plus with TBlue as the key to an enhanced standard of care for oral abnormality screening, Zila, Inc.'s overall strategy is to educate the dental professional and expand distribution among practicing dentists. Through its national sales force and the selective use of national and regional distributors, Zila, Inc. has focused on geographical markets that have demonstrated early acceptance. <br /><br /><strong>Governmental Regulation</strong><br />Zila, Inc.'s operations are subject to regulation by governmental authorities in the United States and other countries with respect to the testing, approval, manufacture, labeling, marketing, distribution and sale of its products. Zila, Inc. devotes significant time, effort and expense addressing the government regulations applicable to its business. On an ongoing basis, the FDA reviews the safety and efficacy of marketed pharmaceutical products and monitors labeling, advertising and other matters related to the promotion of pharmaceutical products.<br /><br />The FDA also regulates the facilities and procedures used to manufacture pharmaceutical products in the United States and the sale of such products in the United States. Such facilities must be registered with the FDA and all products made in such facilities must be manufactured in accordance with the FDA's current Good Manufacturing Practices. Compliance with those practices requires the dedication of substantial resources and requires significant costs. The FDA periodically inspects both Zila, Inc.'s manufacturing facilities and its contract manufacturing plants and laboratories to review compliance with applicable regulations and procedures. The FDA may recommend a recall or withdraw product approvals if regulatory standards are not maintained. FDA approval to manufacture a drug is site specific. If an approved manufacturing facility for a particular drug becomes inoperable, obtaining the required FDA approval to manufacture such drug at a different manufacturing site could result in production delays, which could adversely affect Zila, Inc.'s business and results of operations.<br /><br />In connection with its activities outside the United States, Zila, Inc. is also subject to regulatory requirements governing the testing, approval, manufacture, labeling, marketing, distribution and sale of its products, which requirements vary from country to country. Whether or not FDA approval has been obtained for a product, approval of the product by comparable regulatory authorities of foreign countries may need to be obtained prior to marketing the product in those respective countries. The approval process may be more or less rigorous from country to country, and the time required for approval may be longer or shorter than that required in the United States. No assurance can be given that any clinical studies conducted outside of any country will be accepted by such country and the approval of any product in one country does not assure that such product will be approved in another country.<br /><br />Zila, Inc. is also subject to worldwide governmental regulations and controls relating to product safety, efficacy, packaging, labeling and distribution. While not all of the products that Zila, Inc. plans to introduce into the market are new, those fitting the regulatory definitions are subject to a stringent premarket approval process in most countries. Submission of a substantial amount of preclinical and clinical information prior to market introduction significantly increases the amount of time and related costs incurred for preparing such products for market.<br /><br /><strong>Competitive Landscape</strong><br />All of the industries in which Zila, Inc. sells its products are highly competitive. A number of companies, many of which have greater financial resources, marketing capabilities and research and development capacities than Zila, Inc. has, are actively engaged in the development of products that may compete with Zila, Inc.'s products. The pharmaceutical industry is characterized by extensive and ongoing research efforts that may result in development by other companies of products comparable or superior to any that are now on the market, including those that Zila, Inc. sells.<br /><br /><strong>Weaknesses</strong></p>
<ul>
<li><strong>Reliance on a Few Key Products:</strong> If any of Zila, Inc.'s major products were to become subject to a problem such as loss of patent protection, unexpected side effects, regulatory proceedings, publicity adversely affecting user confidence or pressure from competing products, or if a new, more effective treatment should be introduced, the impact on its revenues could be significant. Additionally, Zila, Inc. is reliant on third party manufacturers and single suppliers for its ViziLite Plus product, and any supply problems resulting from regulatory issues applicable to such parties or failures to comply with the FDA's current standards could have a material adverse impact on its financial condition. Additionally, there is no assurance that Zila, Inc. will be able to successfully develop and integrate new products into its business that will result in growth and a positive impact on its business.</li>
<li><strong>Raw Materials:</strong> Raw materials essential to Zila, Inc.'s business are generally readily available. However, certain raw materials and components used in the manufacture of pharmaceutical and medical device products are available from limited sources, and in some cases, a single source. Any curtailment in the availability of such raw materials could be accompanied by production delays, and in the case of products, for which only one raw material supplier exists, could result in a material loss of sales. In addition, because raw material sources for products must generally be approved by regulatory authorities, changes in raw material suppliers could result in production delays, higher raw material costs and loss of sales and customers. Production delays may also be caused by the lack of secondary suppliers.</li>
<li><strong>Enforcing Proprietary Rights:</strong> Zila, Inc.'s current and future success depends on a combination of patent, trademark, and trade secret protection and non disclosure and licensing agreements to establish and protect its proprietary rights. Zila, Inc. owns and has exclusive licenses to a number of United States and foreign patents and patent applications and intends to seek additional patent applications as it deems necessary and appropriate to operate its business. Zila, Inc. can offer no assurances regarding the strength of the patent portfolio underlying any existing or new product and/or technology or whether patents will be issued from any pending patent applications related to a new product and/or technology, or if the patents are issued, that any claims allowed will be sufficiently broad to cover the product, technology or production process. Although Zila, Inc. intends to defend its proprietary rights, policing unauthorized use of intellectual property is difficult or may prove materially costly and any patents that may be issued relating to new products and technology may be challenged, invalidated or circumvented.</li>
</ul>",,,
9402,"Wawa, Inc.",Private,No,US,PA,Wawa,1803,"<p>Wawa Inc. operates a chain of convenience stores in Pennsylvania, New Jersey, Delaware, Maryland, Virginia and Florida. awa Inc. offers an assorted of food (breakfast, salads, hoagies, wraps, snacks, soups, sides), coffee, frozen products, dairy products, and teas and drinks. Some locations also have a gas station. Wawa Inc. was founded in 1803 and is based in Wawa (Chester Heights), Pennsylvania.</p>","<p><strong>Wawa Inc. Business Model</strong></p>
<p><strong></strong>Wawa Inc. operates a chain of convenience stores in Pennsylvania, New Jersey, Delaware, Maryland, and Virginia. Wawa Inc. offers breakfast, salads, hoagies and sandwiches, toasted wraps and flatbreads, wraps, and snacks, as well as soups, sides, and bowls; coffee, frozen products, dairy products, and teas and drinks; and gasoline. Wawa Inc. also provides casual sweatshirts, hoodies, and college branded clothing. Wawa Inc. was founded in 1803 and is based in Wawa, Pennsylvania.<br /><br /><strong>Wawa Inc. Revenue</strong></p>
<p><strong></strong>Wawa Inc. generates the majority of its revenue through its fuel and food & drink sales. Its secondary products such as apparel are sold primarily through its physical convenience stores but also online through its website. Wawa Inc. also sells gift cards.<br /><br /><strong>Costs</strong></p>
<p>The Company's most significant costs are those related to store expansion and maintenance, cost of goods sold, including gasoline and related fuel products and food service products.</p>
<p><strong>Recent Developments<br /><br /></strong>In August 2015, the company announced that the Concord Township board of supervisors approved Wawa's request to sell six packs of beer to go at their Naamans Creek Road location in Chadds Ford, Pennsylvania. Now it is up to the Pennsylvania Liquor Control Board to approve of the licenses for beer sales.</p>
<p><strong>Wawa Revenue Growth, Expansion, and Experimentation</strong></p>
<p>Wawa has consistently experimented with new formats and products as it has sought to grow. Following the company's expansion toward New Jersey's coastline, Wawa began to customize each store to match the scenery of their location. Sonic-style drive-in booths have been tried and abandoned, as have also tested Panera bread sit-down tables, also abandoned. Centralized baking and in-store-built hoagies have been successes. (Wawa Inc. is now the world's biggest hoagie-maker, according to PrivCo research).</p>
<p>Other experiments tried and reversed by Wawa: national taco, pizza, and doughnut concessions. Wawa has also tested stores greater than 10,000 square feet, as well as mini-Wawas between 2,000 and 3,000 square feet. Based on these tests, Wawa has settled on 5,500 square feet as the ideal size. Wawa also began adding espresso machines in its stores in 2012.</p>
<p>As of 2014, over 400 Wawa's stores sell gasoline</p>
<p><strong>Wawa Targets Florida Market</strong></p>
<p><strong></strong>In 2011, Wawa began studying expansion beyond its core North New Jersey, Pennsylvania, and Central Virginia market. The results: Florida would be Wawa's next frontier. (Wawa considered but decided against Western Pennsylvania / Pittsburgh, given competitor Sheetz's large presence there. North and South Carolina also already had widely used QuikTrip dominating that market.</p>
<p>First up for Wawa stores in 2012 were 7 new stores in Orlando and Tampa, Florida. In July 2012, the Company says it plans to penetrate the Central Florida market over the next five weeks with additional stores in Orlando and nearby Kissimmee (two each).<br /><br />As of November 2014, there were 52 locations in Florida. The company plans to open approximate 50 total new locations in Florida by the end of 2016.</p>
<p><strong>Wawa Employee Turnover and Costs Decline in 2009-2012 Economic Slowdown</strong></p>
<p>The slow economy in 2009-2012 has made it easier for Wawa to hire and retain its largely convenience-store based hourly workers. Employee turnover in 2011 plunged to more than half compared to the prior two years, to about 40 percent annually. Land costs for new store openings were also down. That has made Wawa's growth easier: New Wawa openings rose from 10 to 12 a year in the late 2000s, to 20 new stores in 2011, with 28 in 2012, including the first seven Wawa stores in Florida.</p>
<p><strong>Wawa Launches Expanded Model Store Layout</strong></p>
<p>In June 2012, Wawa officially introduced to the public a vastly expanded and redesigned store at the heart of Center City Philadelphia, at 17th and Arch Streets. The nearly 5,000-square-foot shop included high-tech ordering and laid out in a way that emphasizes Wawa's increasing focus on hoagies, sandwiches, espresso, and other prepared foods as opposed to just dry goods. The larger and redesigned store layout was to serve as a model for Wawa's expansion into Florida.</p>",Wawa,www.linkedin.com/company/wawa-inc,www.facebook.com/wawa
9757,Account Control Technology Inc.,Private,No,US,CA,Woodland Hills,1990,"<p>Account Control Technology is a privately-held specialized debt management and collection solutions company. Account Control Technology was founded in 1990 and is headquartered in Woodland Hills, CA.</p>",,,,
9873,"Alex and Ani, LLC",Private,No,US,RI,Cranston,2004,"<p>Alex and Ani, LLC is a privately-held jewelry manufacturing, designing, and sales company. Alex and Ani sells jewelry online and through Alex and Ani branded retail stores in the United States, Canada, Japan, Spain, Kuwait, and South Korea. Alex also partners with boutiques and department stores to offer its products. Alex and Ani, LLC was founded in 2004 by Carolyn Rafaelian. Alex and Ani, LLC headquarters are located in Cranston, Rhode Island.</p>","<p><strong>Business Model</strong></p>
<p>Alex and Ani focuses on manufacturing and selling eco-friendly pieces of jewelry including bangles, necklaces, earrings, and rings. This entails using recycled materials for Alex and Ani products. Alex and Ani emphasizes their environmentally friendly approach to jewelry in their sales and marketing campaigns and promotional events. Recycled material usage also allows Alex and Ani to offer lower prices through cost savings compared to traditional raw materials.</p>
<p>Alex and Ani designs its products to have positive energy and inspiring ""vital force."" Alex and Ani states that their mission is to spread positive energy through the symbolism and beauty of their jewelry.</p>
<p>Alex and Ani also boasts a patented clasp mechanism called the ""expandable concept."" The design of the clasp allows Alex and Ani to offer a line of jewelry that can be easily customized to fit the customer.</p>
<p>Alex and Ani competes through its unique eco-friendly philosophy as well as through its unique product designs. Their designers continually introduce new lines alongside older, more established jewelry lines. These new launches allow Alex and Ani to stay in touch with market demand and fashion trends.</p>
<p><strong>Revenue</strong></p>
<p>Alex and Ani generates revenue from the sale of jewelry through Alex and Ani branded retail stores. These stores are located mostly in the United States with other stores in Canada, Japan, Spain, Kuwait, and South Korea. Thus, revenue streams have the ability to grow and diversify through geographic expansion and new store launches. Introduction of new product lines and designs can also generate new revenue streams. Online sales account for a significant portion of sales.</p>
<p>Alex and Ani also sells its products through a number of boutiques and department stores including Nordstrom and El Corte Ingles S.A. These clients help Alex and Ani reach customers that its own retail stores cannot, expanding revenue streams even further.</p>
<p><strong>Expenses</strong></p>
<p>Alex and Ani's expenses center mostly around costs of goods sold, which can include materials, labor, and equipment costs. Alex and Ani limits costs of goods sold through reuse of recycled materials. Other expenses include sales and marketing expenses for promotional events.</p>
<p><strong>Recent Developments</strong></p>
<p>In April 2012, Alex and Ani partnered with Major League Baseball to develop expandable bangles featuring the cap logos of fifteen major league teams. The partnership opens Alex and Ani to future partnerships with additional teams, sports leagues, and other licensing possibilities.</p>
<p>In February 2013, Alex and Ani acquired their remaining interest in marketing agency, Seven Swords Media. Following a series of media marketing acquisitions (Bella Consulting and Events, Animal Production Company), Alex and Ani officially launched Seven Swords Media as the company's marketing division. Additionally, a partnership with GoGo Cast aided in the launch of the company's social media marketing application.</p>
<p>In November 2014, Alex and Ani saw a 70+% lift in monthly email revenue and 35% lift in monthly revenue through using abandoned cart emails.</p>",alexandani,www.linkedin.com/company/alexandani,www.facebook.com/alexandaniusa
10224,Benjamin Franklin Plumbing,Private,No,US,FL,Sarasota,2000,"Benjamin Franklin Plumbing is a privately-held HVAC and electrical industry related services company. Benjamin Franklin Plumbing is headquartered in Sarasota, Florida. Benjamin Franklin Plumbing was founded in 2000.",,,,
