id,name,parent_id,pics,url_slug,tree_print,search_visible,child_count,index_hierarchy_data
100,"Agriculture, Fishing, Forestry & Hunting",0,100,agriculture-fishing-forestry-hunting,"Agriculture, Fishing, Forestry & Hunting",Yes,10,"100::0::100::agriculture-fishing-forestry-hunting::Agriculture, Fishing, Forestry & Hunting"
200,"Clean Energy Technology",0,200,clean-energy-technology,"Clean Energy Technology",Yes,11,"200::0::200::clean-energy-technology::Clean Energy Technology"
300,"Construction & Real Estate",0,300,construction-real-estate,"Construction & Real Estate",Yes,3,"300::0::300::construction-real-estate::Construction & Real Estate"
400,"Consumer Products",0,400,consumer-products,"Consumer Products",Yes,27,"400::0::400::consumer-products::Consumer Products"
500,"Energy & Utilities (Traditional)",0,500,energy-utilities-traditional,"Energy & Utilities (Traditional)",Yes,7,"500::0::500::energy-utilities-traditional::Energy & Utilities (Traditional)"
600,Financial,0,600,financial,Financial,Yes,9,600::0::600::financial::Financial
700,Healthcare,0,700,healthcare,Healthcare,Yes,10,700::0::700::healthcare::Healthcare
800,"Hospitality & Leisure",0,800,hospitality-leisure,"Hospitality & Leisure",Yes,9,"800::0::800::hospitality-leisure::Hospitality & Leisure"
900,Internet,0,900,internet,Internet,Yes,4,900::0::900::internet::Internet
1000,"Manufacturing & Industrial",0,1000,manufacturing-industrial,"Manufacturing & Industrial",Yes,21,"1000::0::1000::manufacturing-industrial::Manufacturing & Industrial"
1001,Agribusiness,100,1001,agribusiness,"Agriculture, Fishing, Forestry & Hunting > Agribusiness",Yes,1,"100::0::100::agriculture-fishing-forestry-hunting::Agriculture, Fishing, Forestry & Hunting|1001::100::1001::agribusiness::Agribusiness"
1002,"Agricultural Services",100,1002,agricultural-services,"Agriculture, Fishing, Forestry & Hunting > Agricultural Services",Yes,3,"100::0::100::agriculture-fishing-forestry-hunting::Agriculture, Fishing, Forestry & Hunting|1002::100::1002::agricultural-services::Agricultural Services"
